status,renewal,reinstate,old_user_id,first,last,description,category_id,premium,business_type_id,source_type_id,length_type_id,notes,policy_number,zip_code,date_written,date_issued,date_effective,date_canceled
1,0,0,0,Jordan,Clarkson,auto  motorcycle,6,500,1,8,1,,,,2/2/16 0:00,NULL,NULL,NULL
1,0,0,0,John,Doe,2017 Lamborghini,1,2400,1,6,1,New Lamborghini Hurican,7007007,90210,9/27/16 0:00,NULL,9/1/16 0:00,NULL
1,0,0,0,Jordan,Clarkson,fire apt,10,1000,2,6,1,,,,2/3/16 0:00,NULL,NULL,NULL
1,0,0,0,Jordan,Clarkson,Term 5,33,600,3,5,2,,,,2/11/16 0:00,NULL,NULL,NULL
1,0,0,0,Jordan,Clarkson,Health,47,600,1,6,2,,,,2/17/16 0:00,NULL,NULL,NULL
1,0,0,0,Luol,Deng,trailer,8,500,1,6,2,,,,3/10/16 0:00,NULL,NULL,NULL
1,0,0,0,Luol,Deng,earthquake,16,400,1,6,1,,,,3/17/16 0:00,NULL,NULL,NULL
1,0,0,0,Luol,Deng,term 30,32,600,1,5,1,,,,3/22/16 0:00,NULL,NULL,NULL
1,0,0,0,Luol,Deng,2 yr cd,65,1000,1,2,2,,,,3/30/16 0:00,NULL,NULL,NULL
1,0,0,0,Brandon,Ingram,ATV SNOW,2,500,1,8,1,,,,4/2/16 0:00,NULL,NULL,NULL
1,0,0,0,Brandon,Ingram,condo renewed,15,1000,5,1,2,,,,4/6/16 0:00,NULL,NULL,NULL
1,0,0,0,Brandon,Ingram,reinstated whole life,37,500,3,5,2,,,,4/28/16 0:00,NULL,NULL,NULL
1,0,0,0,Larry,Nance,motorhome,7,500,4,4,1,,,,5/2/16 0:00,NULL,NULL,NULL
1,0,0,0,Larry,Nance,life,30,1000,4,8,1,,,,5/31/16 0:00,NULL,NULL,NULL
1,0,0,0,julius,Randle,,5,550,2,3,1,,,,6/1/16 0:00,NULL,NULL,NULL
1,0,0,0,Julius,Randle,,61,600,1,8,2,,,,6/4/16 0:00,NULL,NULL,NULL
1,0,0,0,MItch,Kupcheck,,6,660,2,5,1,,,,9/14/16 0:00,NULL,NULL,NULL
1,0,0,0,Metta,Peace,,2,600,1,6,1,,,,11/2/16 0:00,NULL,NULL,NULL
1,0,0,0,Metta,Peace,,32,1000,3,5,1,find me,,,11/17/16 0:00,NULL,NULL,NULL
1,0,0,0,Metta,Peace,,16,1500,1,5,2,,,,11/17/16 0:00,NULL,NULL,NULL
1,0,0,0,Joe,Cust1,Auto - Pinto,1,500,1,3,1,Auto Policy for 1978 Pinto,A0001,90266,1/1/16 0:00,NULL,NULL,NULL
2,0,0,0,Cust,1,Blue Car,1,505,1,3,1,Test 1,1234,,5/1/17 0:00,5/9/17 0:00,5/9/17 0:00,NULL
1,0,0,0,Javier,Perez,,1,20,5,3,1,,NULL,92708,1/26/16 0:00,1/28/16 0:00,7/28/16 12:07,NULL
2,0,0,0,a,a,a,9,100,2,3,1,,123,,5/11/17 0:00,5/28/17 0:00,5/29/17 0:00,NULL
2,0,0,0,a,a,a,58,1000,1,3,3,,1111,,5/11/17 0:00,NULL,5/26/17 0:00,NULL
1,0,0,0,Jesse,Parrott,testing loan settings,58,0,1,9,3,testing,n/a,92649,5/11/17 0:00,NULL,NULL,NULL
2,0,0,0,a,a,,42,2,3,5,1,,,,5/11/17 0:00,5/11/17 0:00,5/17/17 0:00,NULL
1,0,0,0,Dino,Ditta,Health,40,10000,1,5,2,,A123,,5/14/17 0:00,NULL,NULL,NULL
1,0,0,0,gg,gg,ggg,1,400,1,1,1,,sdfre,99999,5/27/17 0:00,NULL,5/8/17 0:00,NULL
4,0,0,0,tyhwrt,trhjrt,ytujr,9,451,1,1,2,,dykk,,5/28/17 0:00,NULL,5/29/17 0:00,5/30/17 0:00
